trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.6408945301630461}",20,0,-64.45497025622171,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.638330952042394}",25,3,-50.67306499974194,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.6357776282342243}",20,2,-34.51168287355234,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.6332345177212875}",25,11,22.274437027722197,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.6307015796504023}",20,14,-13.143748271113505,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.6281787733318007}",25,8,-15.279526239973164,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.6256660582384735}",25,0,-97.62864077697081,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.6231633940055196}",20,2,-64.89219576888578,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.6206707404294975}",20,2,-98.95689740421773,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.6181880574677795}",25,17,-9.53863516268085,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.6157153052379084}",30,22,1.9355624769394784,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.6132524440169568}",20,0,-20.409931519454204,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.6107994342408889}",25,0,-55.168820485067755,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.6083562365039253}",25,3,-34.920515456054176,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.6059228115579096}",20,0,-30.92468516363439,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.6034991203116781}",20,2,-25.746444419206913,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.6010851238304313}",20,9,-26.62309810364723,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5986807833351095}",20,13,4.859501668866152,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.5962860602017691}",35,1,-106.83844033861153,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.5939009159609621}",20,0,6.00192848033589,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.5915253122971182}",20,0,-38.62028035637415,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.5891592110479298}",25,0,-124.159086155294,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
