trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
327,False,"{'a': 0.5, 'e': 0.26965201165143304}",20,13,13.713394195504724,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.26857340360482734}",20,0,14.377280826210141,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
329,False,"{'a': 0.5, 'e': 0.267499109990408}",20,11,13.896678997759853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.26642911355044635}",20,6,-0.49073546293397863,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.26536339709624457}",25,16,17.516434105250852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.2643019435078596}",30,7,6.427566176215558,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.2632447357338282}",25,1,-67.23272037262758,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
334,False,"{'a': 0.5, 'e': 0.26219175679089285}",30,15,-15.151819607155796,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.2611429897637293}",20,13,-32.800225172172254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.5, 'e': 0.26009841780467435}",20,0,28.127690301884584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
337,False,"{'a': 0.5, 'e': 0.2590580241334557}",25,13,-27.750356616812436,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.2580217920369218}",20,14,13.412801318730429,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.25698970486877415}",35,15,22.63767720547759,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.25596174604929905}",30,14,-25.026489984454017,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
341,False,"{'a': 0.5, 'e': 0.25493789906510184}",20,16,7.495260548855769,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.25391814746884145}",25,11,-77.64123168666768,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
343,False,"{'a': 0.5, 'e': 0.2529024748789661}",20,9,18.66412581687313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.25189086497945024}",25,10,18.350953202941973,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.2508833015195324}",20,12,2.853145777471333,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.2498797683134543}",30,2,-23.96122225344078,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
347,False,"{'a': 0.5, 'e': 0.24888024924020047}",20,14,-5.690829254952558,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.24788472824323968}",25,14,-47.50845815130941,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
349,False,"{'a': 0.5, 'e': 0.24689318933026672}",20,7,24.43803787895044,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.24590561657294563}",25,3,-17.429801372024027,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
351,False,"{'a': 0.5, 'e': 0.24492199410665386}",25,8,-10.553463923452444,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.24394230613022724}",20,3,30.223942872873007,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.24296653690570633}",20,9,18.115548590047688,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.2419946707580835}",25,16,4.652570797579628,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.24102669207505117}",20,0,-23.228444387079023,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
356,False,"{'a': 0.5, 'e': 0.24006258530675095}",20,1,14.876804753243494,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.23910233496552397}",30,22,14.85824585058855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.23814592562566186}",25,0,-56.890118905799945,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
359,False,"{'a': 0.5, 'e': 0.23719334192315922}",25,4,29.849625864613273,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.23624456855546658}",20,8,22.551123913955568,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
